T13,Gross domestic product and gross domestic product per capita,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
202,Sub-Saharan Africa,2020,GDP real rates of growth (percent),-2.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
202,Sub-Saharan Africa,2021,GDP real rates of growth (percent),4.5,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
14,Eastern Africa,1995,GDP in current prices (millions of US dollars),"71,027",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
14,Eastern Africa,2005,GDP in current prices (millions of US dollars),"117,083",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
14,Eastern Africa,2010,GDP in current prices (millions of US dollars),"235,641",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
14,Eastern Africa,2015,GDP in current prices (millions of US dollars),"329,095",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
14,Eastern Africa,2019,GDP in current prices (millions of US dollars),"426,915",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
14,Eastern Africa,2020,GDP in current prices (millions of US dollars),"426,039",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
14,Eastern Africa,2021,GDP in current prices (millions of US dollars),"459,522",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
14,Eastern Africa,1995,GDP per capita (US dollars),326,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
14,Eastern Africa,2005,GDP per capita (US dollars),406,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
14,Eastern Africa,2010,GDP per capita (US dollars),690,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
14,Eastern Africa,2015,GDP per capita (US dollars),839,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
14,Eastern Africa,2019,GDP per capita (US dollars),979,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
14,Eastern Africa,2020,GDP per capita (US dollars),951,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
14,Eastern Africa,2021,GDP per capita (US dollars),999,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
14,Eastern Africa,1995,GDP in constant 2015 prices (millions of US dollars),"110,383",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
14,Eastern Africa,2005,GDP in constant 2015 prices (millions of US dollars),"165,800",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
14,Eastern Africa,2010,GDP in constant 2015 prices (millions of US dollars),"244,279",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
14,Eastern Africa,2015,GDP in constant 2015 prices (millions of US dollars),"329,095",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
14,Eastern Africa,2019,GDP in constant 2015 prices (millions of US dollars),"406,004",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
